"","authority"
"1",2.56766017687837e-14
"2",1.89220285542705e-14
"3",-1.31262627668128e-14
"4",2.12347460795487e-15
"5",-1.68270315250029e-15
"6",1.44325449103136e-14
"7",2.32613334135788e-14
"8",-9.18545538962378e-15
"9",-9.20747419205445e-15
"10",-2.23231782260936e-14
"11",5.98261688329704e-15
"12",-9.97100080655326e-16
"13",-1.699645586658e-14
"14",2.39013207866564e-14
"15",2.29313986029496e-14
"16",-1.52521866592135e-15
"17",-8.7892384785804e-15
"18",2.52816185445407e-14
"19",5.98702778738149e-15
"20",2.22444361015983e-14
"21",-0.000130332802560057
"22",-0.000130332802573886
"23",-0.000233912853526591
"24",-0.000131945049993409
"25",-1.77770299682112e-14
"26",-1.38290105467977e-15
"27",2.09541932218669e-14
"28",-1.45508799130947e-06
"29",4.313768586221e-15
"30",-1.03318468222659e-14
"31",-2.10715739295479e-14
"32",-1.34648872555991e-14
"33",1.21988469148066e-14
"34",2.32395576557051e-14
"35",-1.21237528976224e-14
"36",8.82080594104064e-15
"37",-6.81145642317781e-15
"38",-1.31675445920284e-14
"39",-2.5216734298134e-14
"40",-6.2781888422341e-07
"41",1.29905502598478e-14
"42",-9.05959378939825e-05
"43",-1.14344115418307e-14
"44",-1.43348100409853e-06
"45",-7.78111518698369e-15
"46",-1.43348096914348e-06
"47",-6.7599497202083e-15
"48",-1.97561923161226e-14
"49",1.16723070041434e-14
"50",3.26551243955142e-15
"51",-1.36855536543832e-14
"52",-7.5854530207691e-05
"53",1.34660812467482e-14
"54",1.15595202528469e-14
"55",7.22723658591523e-15
"56",1.71261633773603e-14
"57",-6.67863931290309e-05
"58",-2.04210670941168e-14
"59",-2.10144742910133e-14
"60",2.25664671960543e-14
"61",-2.07805319061522e-14
"62",-2.32267374603055e-16
"63",-8.36642969692393e-16
"64",9.29331622340474e-15
"65",-2.49909901544526e-14
"66",3.0932081799759e-16
"67",1.20094863673884e-14
"68",2.10172024886085e-14
"69",-2.29945613432485e-14
"70",2.18895784420854e-14
"71",-3.63123488553911e-17
"72",5.94981235640576e-15
"73",1.14477565491844e-14
"74",-2.12510965953852e-14
"75",-1.52762473239574e-15
"76",1.82585555804255e-15
"77",-1.470402716181e-06
"78",2.31046548031333e-14
"79",-1.58159610891782e-07
"80",-1.38759332244868e-14
"81",-1.68347601819639e-14
"82",1.92388798884328e-14
"83",2.48621086811572e-14
"84",-9.67789342180328e-15
"85",-1.8910660701753e-14
"86",-6.65248642073165e-15
"87",-1.21310564864868e-14
"88",-1.15757004334085e-14
"89",-2.56486964197914e-14
"90",-1.99548358514439e-14
"91",1.37014374164768e-14
"92",9.94618749493403e-15
"93",7.65094332824499e-15
"94",-6.81651127538558e-16
"95",-0.000231790098263841
"96",-1.77675086647452e-14
"97",4.51496334499497e-15
"98",-1.75381078270471e-14
"99",1.18464229092555e-14
"100",4.344872547473e-15
"101",-1.91568157892276e-15
"102",1.64755168477263e-15
"103",1.09273492114568e-14
"104",1.6518950465264e-14
"105",1.77828462043145e-14
"106",-3.67973135117326e-15
"107",-1.55297339664805e-14
"108",2.39796994662007e-14
"109",-1.76913060238871e-15
"110",7.80511084092893e-17
"111",-2.33844574201319e-14
"112",-1.27506956713183e-14
"113",-2.80307773605652e-15
"114",-2.00656991061466e-14
"115",-9.12142987265336e-05
"116",-1.75650547281444e-14
"117",1.74720777851896e-14
"118",1.47511576414436e-14
"119",-1.10260962583291e-14
"120",1.89791018878243e-14
"121",2.10040935592767e-14
"122",1.15757603962641e-14
"123",2.55227228861399e-14
"124",4.40134119025742e-15
"125",2.42968542055089e-14
"126",-4.23891194952046e-06
"127",-2.24874448996313e-14
"128",1.33566151415277e-14
"129",1.63873128391019e-14
"130",9.37000049502811e-15
"131",-1.987330267792e-14
"132",-7.8088811349346e-15
"133",-0.00115831613222331
"134",-9.31286329319096e-15
"135",5.86391864624994e-15
"136",5.7657622985822e-15
"137",1.32989194557312e-17
"138",1.81004077500055e-14
"139",-4.47738665469403e-15
"140",-1.77466868837478e-14
"141",-4.62737703939385e-15
"142",-2.33871024419543e-14
"143",-2.88332875199565e-15
"144",-4.59347908266e-05
"145",-9.34902193609384e-07
"146",4.68519509521182e-15
"147",1.83938939950612e-14
"148",-8.75854496431654e-06
"149",-0.000107897717691327
"150",5.89823477815119e-16
"151",1.8471756205908e-15
"152",-2.36789787710623e-14
"153",-6.97564964011092e-07
"154",1.5418513876071e-14
"155",9.28214001704146e-15
"156",-6.63848048270899e-15
"157",1.91696466782564e-14
"158",-7.76755731590471e-15
"159",-6.24638756411877e-15
"160",-5.83298224612861e-09
"161",1.29493533726954e-14
"162",1.21032177820273e-15
"163",-7.37125355226805e-08
"164",1.52391358424948e-14
"165",2.42195781392541e-14
"166",-2.06273543344178e-14
"167",3.7746838376448e-15
"168",1.8383466584701e-14
"169",-2.2980195323124e-14
"170",4.60575280216249e-15
"171",1.89400576768391e-14
"172",-1.98046448901229e-14
"173",2.09436097189519e-14
"174",1.73473055394665e-14
"175",2.20275221940757e-14
"176",6.91536884552692e-15
"177",1.26812721843204e-14
"178",-1.95615011988989e-08
"179",-1.45409102886273e-14
"180",-9.51591480265796e-06
