"","hub"
"1",3.16283732989462e-14
"2",2.33083078497239e-14
"3",-1.61689094961885e-14
"4",2.61571583279348e-15
"5",-2.0727712653157e-15
"6",1.77779481956536e-14
"7",2.86533450776501e-14
"8",-1.13146126069439e-14
"9",-1.1341937484108e-14
"10",-2.74979457282878e-14
"11",7.36941554350371e-15
"12",-1.2282373265566e-15
"13",-2.09364021556703e-14
"14",2.94420918414564e-14
"15",2.82473019311266e-14
"16",-1.87880816372358e-15
"17",-1.08266530677818e-14
"18",3.11421604300633e-14
"19",7.37477024283912e-15
"20",2.74005042368401e-14
"21",5.21962709628296e-15
"22",-1.18149608794864e-14
"23",-5.628469602661e-15
"24",-2.72285748453311e-14
"25",-2.18977075396648e-14
"26",-1.70348021834225e-15
"27",2.58117545144236e-14
"28",-9.73661395314114e-15
"29",5.31378365340004e-15
"30",-1.27269841511178e-14
"31",-2.59558853268614e-14
"32",-1.65860080545826e-14
"33",1.5026825465025e-14
"34",2.86265536422525e-14
"35",-1.49340556881323e-14
"36",1.08657719393671e-14
"37",-8.39051211420357e-15
"38",-1.62200962466589e-14
"39",-3.10615533286223e-14
"40",8.51846209649958e-15
"41",1.60018276793409e-14
"42",-3.05251888069368e-14
"43",-1.40850443629185e-14
"44",-1.60268719271978e-14
"45",-9.58477361913755e-15
"46",2.70310018330535e-14
"47",-8.32695184228081e-15
"48",-2.43357310213117e-14
"49",1.43780198083253e-14
"50",4.02246181231206e-15
"51",-1.68579324675306e-14
"52",1.40865690100668e-15
"53",1.65879503681856e-14
"54",1.42388983551932e-14
"55",8.90254954753415e-15
"56",2.10962664756395e-14
"57",8.52881765661344e-16
"58",-2.51547829428571e-14
"59",-2.58857440401461e-14
"60",2.77979993488349e-14
"61",-2.55974285716074e-14
"62",-2.86106968021383e-16
"63",-1.03060271929698e-15
"64",1.14476092865311e-14
"65",-3.07839712622532e-14
"66",3.81019397133056e-16
"67",1.47932927246977e-14
"68",2.58891571246778e-14
"69",-2.83245758543967e-14
"70",2.69639079133523e-14
"71",-4.47295990845797e-17
"72",7.32896062791101e-15
"73",1.4101419301608e-14
"74",-2.61775271653486e-14
"75",-1.88174868397011e-15
"76",2.24908791632388e-15
"77",-2.7895391529079e-14
"78",2.84607662246768e-14
"79",-1.65428878059071e-14
"80",-1.70926693171493e-14
"81",-2.07371004955673e-14
"82",2.36989598357166e-14
"83",3.06253122100319e-14
"84",-1.19212780211584e-14
"85",-2.32946922323626e-14
"86",-8.19462816550978e-15
"87",-1.49429334692233e-14
"88",-1.42590092288409e-14
"89",-3.15947333955715e-14
"90",-2.45801507706943e-14
"91",1.6877620812939e-14
"92",1.22516170569304e-14
"93",9.42449743185472e-15
"94",-8.39679880450275e-16
"95",-5.76368906855251e-15
"96",-2.18862466067005e-14
"97",5.56155242728967e-15
"98",-2.16032475698859e-14
"99",1.45923948957118e-14
"100",5.35203237133535e-15
"101",-2.35976980015644e-15
"102",2.02947968638451e-15
"103",1.34603880119612e-14
"104",2.03484231945973e-14
"105",2.19047343501497e-14
"106",-4.53276614775249e-15
"107",-1.91296707387757e-14
"108",2.95379104272837e-14
"109",-2.17922114614009e-15
"110",9.61458275509476e-17
"111",-2.88052232249273e-14
"112",-1.57064840094662e-14
"113",-3.45285917864451e-15
"114",-2.47175254223522e-14
"115",-7.89777814894132e-15
"116",-2.16367721517221e-14
"117",2.15225835069027e-14
"118",1.81707820533484e-14
"119",-1.35821132747357e-14
"120",2.33787088666329e-14
"121",2.58732659528529e-14
"122",1.42592185549147e-14
"123",3.14396509811323e-14
"124",5.42165711337719e-15
"125",2.99291007355079e-14
"126",-1.32729306913065e-14
"127",-2.77003062081616e-14
"128",1.64525842457194e-14
"129",2.01861627227803e-14
"130",1.15421292787722e-14
"131",-2.44805608159878e-14
"132",-9.61887254893859e-15
"133",2.21188521601493e-14
"134",-1.14716430701789e-14
"135",7.22317859391862e-15
"136",7.10236899387778e-15
"137",1.63818321038703e-17
"138",2.22960886499406e-14
"139",-5.51520401294098e-15
"140",-2.18606271361096e-14
"141",-5.70001456053538e-15
"142",-2.88082897284202e-14
"143",-3.55172698625039e-15
"144",2.22570784783114e-14
"145",-3.05730581508213e-14
"146",5.77125880285253e-15
"147",2.26573151136351e-14
"148",-4.10536633239499e-15
"149",1.56801013546275e-14
"150",7.26538690027277e-16
"151",2.27536404158865e-15
"152",-2.91677947001902e-14
"153",2.36566818900096e-14
"154",1.89927356638466e-14
"155",1.14339522030185e-14
"156",-8.17733634976702e-15
"157",2.36135419274063e-14
"158",-9.56806044915773e-15
"159",-7.69425309348074e-15
"160",-1.91716861747573e-14
"161",1.5950773843346e-14
"162",1.49089358333619e-15
"163",7.0017989439475e-15
"164",1.87719893930501e-14
"165",2.98339674473691e-14
"166",-2.54088674074137e-14
"167",4.64959130902296e-15
"168",2.26448440663913e-14
"169",-2.83071240201495e-14
"170",5.67328636033656e-15
"171",2.33307540507019e-14
"172",-2.43950732186872e-14
"173",2.57982699318785e-14
"174",2.13687702858451e-14
"175",2.71338105296012e-14
"176",8.5182667276092e-15
"177",1.56211329314492e-14
"178",2.30822208390371e-14
"179",-1.79118157628478e-14
"180",2.8271414723687e-15
"181",9.51871538958454e-15
"182",3.01742000288902e-15
"183",-1.95431070068663e-14
"184",-2.73068624449449e-14
"185",-9.5928392642045e-15
"186",1.80127778017219e-14
"187",-1.1360784040328e-14
"188",-2.58673472295751e-14
"189",1.58064361767365e-14
"190",-2.28271649470161e-14
"191",1.8179171132662e-15
"192",-3.76761458999178e-16
"193",-6.35077344551527e-15
"194",-2.00883590411706e-14
"195",-1.61842961545415e-14
"196",2.38830599786502e-15
"197",-2.85525327836053e-14
"198",-8.39684898068577e-15
"199",3.83786094956749e-15
"200",-2.05399989554993e-14
"201",-1.1954645112325e-14
"202",-1.27911632416941e-14
"203",-3.0816075177169e-14
"204",-2.87453623579577e-14
"205",-2.22201993171178e-14
"206",1.33275242844728e-14
"207",-2.36747058321979e-15
"208",-9.13099390208467e-16
"209",2.50859067092188e-14
"210",5.43834257337939e-15
"211",-4.85294914551251e-15
"212",-2.38209351996132e-14
"213",3.79303961379004e-15
"214",-1.45332258916456e-14
"215",-2.33592337093254e-14
"216",-1.36409524143139e-14
"217",-1.9023034593824e-14
"218",-1.30649313953637e-14
"219",-1.52905073735584e-14
"220",3.04213856545992e-14
"221",-2.44191932217939e-14
"222",-1.58066862576694e-15
"223",2.32015404233651e-15
"224",2.75050472669874e-14
"225",-1.35006634062975e-14
"226",6.99428985563273e-16
"227",-1.06071548480315e-14
"228",-1.15161373147395e-14
"229",1.90057725208588e-14
"230",-2.63556897227402e-14
"231",-2.31452544692044e-14
"232",-2.46717943513161e-14
"233",-2.78005440703981e-15
"234",2.28238440585921e-14
"235",3.14091236534185e-15
"236",-3.09562181579967e-14
"237",1.79946005063333e-14
"238",3.41444447229827e-15
"239",1.16564299055577e-14
"240",-9.27320442707195e-16
"241",-2.41331317950704e-14
"242",3.81285245007238e-15
"243",2.05388281106603e-15
"244",-1.93980540332895e-14
"245",8.52979956759224e-15
"246",1.82486890520928e-14
"247",-3.15732098734347e-14
"248",2.19121985655311e-14
"249",-8.25444894899829e-15
"250",-7.36018601914026e-15
"251",3.15912774151626e-14
"252",3.15734003391253e-14
"253",-1.72917605484767e-14
"254",-1.43806533860926e-14
"255",1.14385535099301e-14
"256",5.20470092923829e-15
"257",-1.15442077770669e-14
"258",-1.14220813248717e-14
"259",1.86447188122366e-14
"260",-2.12813890209763e-14
"261",-1.32160374338427e-14
"262",-2.07933562248774e-14
"263",2.56477154484457e-14
"264",2.64584948107909e-14
"265",-1.67003533096543e-14
"266",-8.19632818030213e-15
"267",1.81010376245347e-14
"268",1.81204217512834e-14
"269",2.65011850277259e-14
"270",7.03289250973601e-15
"271",-2.86027436638723e-14
"272",-2.83108226158142e-14
"273",6.96765279298102e-15
"274",1.45991344680143e-14
"275",-1.21563533640861e-14
"276",1.36612658691018e-14
"277",-1.75138622018648e-14
"278",-1.79569727919402e-14
"279",4.90503224589489e-15
"280",1.37803227619473e-14
"281",1.93590006497136e-14
"282",3.09132934017655e-14
"283",1.94946320433229e-14
"284",-3.05685869866798e-14
"285",1.61907070860045e-14
"286",-2.02250800728258e-14
"287",2.2996959715448e-14
"288",6.44324683328039e-15
"289",-6.38979319588783e-15
"290",2.04400077543959e-14
"291",-2.07715119230811e-14
"292",2.16511309363973e-14
"293",-3.08655681899212e-14
"294",1.5360838304697e-14
